epoch,lr,train_loss,val_loss,train_f1m,val_f1m,train_ioum,val_ioum,train_acc_all,val_acc_all,train_acc_no_bg,val_acc_no_bg,train_d21_acc,val_d21_acc,train_d21_f1,val_d21_f1,train_d21_iou,val_d21_iou,train_d21_bin_acc_all,val_d21_bin_acc_all,train_pred_bg_frac,val_pred_bg_frac,val_d11_acc,val_d11_f1,val_d11_iou,val_d11_bin_acc_all,val_d22_acc,val_d22_f1,val_d22_iou,val_d22_bin_acc_all
1,0.0002,2.408418342941686,1.4828146894772847,0.22139300547765015,0.6389320351001508,0.13664615856282517,0.48668801882611196,0.5332183302494518,0.8672147492567698,0.21387985832335657,0.6317980686823527,0.907416738324527,0.9643047924289729,0.3047609516545767,0.7830056106814248,0.19461947610113955,0.6481151251249012,0.9603216338574488,0.9861519223166261,0.5693693462171052,0.76731509466966,0.9659765223745108,0.799243385949374,0.6690780056596376,0.9871286664688766,0.9641637352938685,0.6607932048052091,0.501082368395484,0.9909887767971872
2,0.00019996573249755572,2.307290328176398,1.236511876185735,0.3020243688525695,0.6935464619637451,0.18719533348882997,0.5423536379105477,0.6475277013945998,0.8146954526503881,0.2450285442434905,0.695968896150589,0.9180910405840342,0.9616750368230291,0.3611729348834953,0.7883036519152492,0.23036732496687168,0.6553919569400977,0.9670205634935496,0.9844965253555958,0.6906735604269463,0.6911423106988271,0.9707743424997078,0.8289167279019743,0.7119971044088204,0.9858256748742896,0.9533920940162838,0.5545248804877533,0.391235920967904,0.9882670811242894
3,0.0001998629534754574,2.2890341474298843,1.191324810187022,0.3151502297526884,0.7313057802298585,0.19667519720086418,0.5870106025466446,0.6558152583607456,0.7514152576526006,0.2531454095257479,0.7385402967532476,0.9188715225173965,0.9732844206050218,0.36637366106526653,0.8440300294299433,0.23494739846108137,0.7355843448419502,0.967919332939136,0.9751804896761889,0.6985546982079222,0.6153886020183563,0.9745147489186826,0.8510844802499418,0.7442716460851924,0.9690742492674284,0.9717866348810471,0.7293252075611538,0.5816888847524153,0.9872705368767076
4,0.00019969173337331284,2.2366434532299375,0.8736536105473837,0.3167904345915842,0.7099210220138134,0.19904541367637013,0.5607513533779106,0.651413070946409,0.8135054459174474,0.2554994128709822,0.7051884929339091,0.921048821687175,0.9679140744608712,0.3683950864582395,0.8118853348312384,0.23873133332943214,0.6867092074970916,0.9701034278198923,0.9845871698287169,0.6925734670538651,0.6888493150472641,0.9704776925006774,0.8242157668845361,0.7042675661003791,0.9849871680848553,0.9700058264038115,0.6990777540724747,0.5447586301235238,0.9900699797129238
5,0.00019945218953682734,2.160346522247582,1.017332101861636,0.3277612739144279,0.7070264371582264,0.20831870389661317,0.558107392746617,0.6149061236465186,0.8248063971598943,0.26950504161548194,0.6991823216279348,0.926580135727257,0.9711893375575595,0.38837683531557854,0.8293960124172446,0.25472845996548715,0.7132994405995984,0.9757872464362565,0.9856427510577905,0.6434441282038104,0.7031531582276026,0.9691642682705872,0.8096403824506284,0.6870864105606981,0.9858790806360086,0.9711031527987563,0.7498873799038864,0.604090660268232,0.9894338335308182
6,0.00019914448613738106,2.141570906890066,0.9366491089264551,0.3295596085298957,0.6850789907532389,0.21043803256490679,0.5314655877300112,0.6401438930578399,0.7797893385092417,0.266433338128161,0.6858154435952505,0.9279267536966803,0.9678168062088407,0.3815280738916043,0.7937602614480284,0.2504534383626677,0.6634730411139416,0.9784330133804715,0.9837492079960349,0.6746821353310033,0.6564111262559891,0.9681695398949074,0.7892911907505996,0.6557449422976966,0.9864876156760012,0.9627190655456282,0.6621945925731053,0.5030990941689418,0.9870018731978573
7,0.0001987688340595138,2.128593641414977,0.749625618259112,0.329122864174832,0.7235901194533015,0.20993677172489583,0.5748318051960092,0.6098273561711897,0.7924675742785136,0.2711254825112982,0.7277103265126547,0.9294939500759051,0.960932806170085,0.38695398257873687,0.7818632818144894,0.25464665139946574,0.6433650367038447,0.979374560975043,0.9815294174919432,0.6353695518092105,0.6592921316623688,0.970264077852539,0.8368224767473537,0.7210001324817248,0.979939052036679,0.9559277913436457,0.5826526636924424,0.41729652624962926,0.9854752676826043
8,0.0001983254907563955,2.125405320786593,0.8803672542174658,0.337584838065841,0.6930069018915496,0.21563896232544058,0.5429043543066435,0.6179013436300713,0.7681272625923157,0.27600501899917923,0.701464369893074,0.9297807655068314,0.971248752349117,0.38617958992667506,0.8408377920696283,0.25414334894209856,0.7297848986162802,0.9802180775423405,0.9811412266321029,0.6437732361910636,0.6394204646348953,0.975373810492029,0.8503885804713658,0.7439575472807944,0.9839586530411428,0.9614307154477553,0.6604851984027995,0.5030661143762106,0.9828193301244763
9,0.00019781476007338058,2.1409481755474156,0.7566643804311752,0.32883990421749437,0.7240381872281704,0.20962625540869015,0.5765730483334517,0.6236665959943805,0.8581493943929672,0.26908127400174475,0.7205550422271093,0.9295529090321076,0.9765687079666875,0.38023728945319796,0.8597787942966898,0.24993357931587779,0.7579656405341196,0.9800329375683823,0.9881424676802789,0.6529156065823739,0.7310309658447901,0.9750584457421408,0.8438659047228523,0.7333448995528246,0.9877052307127382,0.969297875844671,0.6843630845816545,0.5246202801632458,0.9906759716214059
