epoch,train_loss,val_loss,train_f1m,val_f1m,train_ioum,val_ioum,train_acc_all,val_acc_all,train_acc_no_bg,val_acc_no_bg,train_d21_f1,val_d21_f1,val_d11_f1,val_d11_iou,val_d22_f1,val_d22_iou
1,2.4145710543582313,1.5026381214459736,0.22646561523452718,0.6419597524476904,0.1402588958632763,0.49292720697819675,0.5350638941714638,0.8684316376845042,0.21845798846661,0.6402235925197601,0.3095878274248318,0.8238088317914358,0.8245237894203744,0.7069335069804744,0.6975881962427554,0.5441792913846769
2,2.3156738297981128,1.2675475875536601,0.3044664297257844,0.7093890698170853,0.18914882980275297,0.5603871171092097,0.6480705395079496,0.8257677008708318,0.2477859334072523,0.7114846458037695,0.36538014036583855,0.7816568533519895,0.8328236800689087,0.7169277272762037,0.5607475104966232,0.39830297798407965
3,2.2931172592598097,1.219772716363271,0.32120227318417655,0.7327375597351676,0.20137705435575406,0.5904718243435964,0.6588795444421601,0.7770109673341116,0.25768801188913354,0.7402079602082571,0.37471977632834086,0.8654571119112054,0.8643694945179655,0.76606595159235,0.7618320478483942,0.6226520686372489
4,2.233035543926975,0.9006425042947134,0.31862244102186743,0.6840553924322957,0.20097950901626546,0.5353462585329518,0.6742598148814419,0.8252131193876266,0.25302487337275553,0.677604948480924,0.36725551759750436,0.8376132155441524,0.830989376817056,0.7154545803836525,0.7308993899210471,0.588828674362197
5,2.1703239315434506,0.8699161112308502,0.33286151562741595,0.7203182478003479,0.21209979357379555,0.5713842682776459,0.6611660070586622,0.801649366815885,0.2656509187856787,0.7185129076242447,0.39530590612539634,0.790691304142221,0.8097670347976704,0.685643515786262,0.7302598788669696,0.5825995583768561
6,2.1562056043691804,0.8889499455690384,0.3304126609154734,0.6743254367487298,0.2111195274272914,0.5242588246824261,0.6628549140796327,0.8221141298611959,0.2635127893992161,0.675411676367124,0.38299037337033304,0.8361751991106511,0.8384640027712655,0.7256607171881191,0.6594108833906795,0.5009245287511136
7,2.1430534822898997,0.7359817872444788,0.3351578509563714,0.7565203055240551,0.2152858944604421,0.6162462624464925,0.6603467974746436,0.8146582146485647,0.26727834683761265,0.75825867553552,0.3873050508339091,0.852510768175585,0.8529851742097933,0.7467642937966498,0.7663925941140163,0.6303098994120185
8,2.1213880409274184,0.6964795639117559,0.34201521124489515,0.7653231548914267,0.21951748094951481,0.6286528674609019,0.6710222746196546,0.829006016254425,0.270269619082019,0.7662178377310435,0.397098117069994,0.8852194661671006,0.8676248767134519,0.7680955213173788,0.8015648658512812,0.6757073101381175
9,2.1271299441655476,0.8291333764791489,0.33885213170028605,0.7290964482473935,0.21748664714812307,0.5851663682184436,0.6608557450143915,0.8677015801270803,0.270605943789869,0.7299002508322397,0.3919323804102832,0.873624473775343,0.8205292975229116,0.6979863408325023,0.6757177858861088,0.5190103465999578
10,2.117982723838405,0.9333027005195618,0.3456489635152682,0.6908452219416058,0.2210185088135833,0.5406007147667741,0.6543599446614583,0.8745030015707016,0.27594684479888854,0.6847335696220398,0.4012646750963886,0.8554977507982297,0.8137236487155026,0.689645030536413,0.7680895510654548,0.6310074164434661
11,2.1248663645041614,0.6849636634190878,0.3362591717246432,0.7527686167623368,0.21540338664393427,0.612822362696973,0.6909942626953125,0.8697647849718729,0.2624492866232207,0.7477286905050278,0.3888786067440447,0.8799700703275696,0.8676098932329093,0.7695943895023453,0.7994634469677685,0.670924273476711
12,2.1228957477368806,0.7720448871453603,0.3412585990108894,0.7654526834762204,0.21980324973290594,0.6267117016226532,0.6459109657689145,0.8169989834229151,0.27488299925860604,0.7623145679632822,0.395104547982133,0.8392466847607037,0.8281323941527653,0.708905219451074,0.7761984824646646,0.641564224115125
13,2.108956475843463,0.797436535358429,0.3478202714487561,0.7210320462845082,0.22436795713819419,0.5747222419343009,0.6647208765933388,0.8539465069770813,0.2763273901559347,0.7123396446307501,0.39569112676354407,0.8268421654953685,0.7559260544832286,0.6094293635883342,0.7910683300026702,0.6611703170236278
14,2.11281279848333,0.813588817914327,0.348058566105536,0.7658221005082767,0.22423416147643752,0.62888599960705,0.6769771642852248,0.8058026681343714,0.27341196492412373,0.7666632384061813,0.4011184329345089,0.8728120022447118,0.8483589580773003,0.7399212918791948,0.7858101551842838,0.6523866658402625
15,2.0942736056813023,0.651033341884613,0.350842292276701,0.7680466890996782,0.2273521835050926,0.6357428187826862,0.701727723238761,0.8253182917833328,0.27190113104553076,0.7741129696369171,0.39300419182738094,0.899163477295016,0.8841602716370832,0.794997951676832,0.8076208187417017,0.6851526814543915
16,2.0875115051604154,0.6793460870782534,0.35607622832350583,0.7844699236211863,0.23045428595434586,0.6547591836829815,0.6725296823601974,0.8124534984429678,0.28090697974783546,0.7888895173867544,0.40638694675194775,0.8961541604486425,0.8809892335736609,0.7919409957540561,0.8072505242487691,0.681629288327295
17,2.0819341655363117,0.9543203165133795,0.35925621209092645,0.7148413308609869,0.23391255359606405,0.5641101867893817,0.6771160460354989,0.8569277822971344,0.2821851493169864,0.7050166577100754,0.4042712215309533,0.7599002643996053,0.7885537297753357,0.6519979492785137,0.7068414025916923,0.5514478848600782
